imglink,title,category,videolink
https://img.youtube.com/vi/s3F6R92s6_o/0.jpg,60분 운동으로 680칼로리 소비하기,전신,https://www.youtube.com/embed/s3F6R92s6_o?rel=0&autoplay=1
https://img.youtube.com/vi/MPKDjNvKnN8/0.jpg,러브핸들 잡을수 있는 전신운동,전신,https://www.youtube.com/embed/MPKDjNvKnN8?rel=0&autoplay=1
https://img.youtube.com/vi/cA-rsX7Y7f4/0.jpg,지지 하디드 전신 운동법,전신,https://www.youtube.com/embed/cA-rsX7Y7f4?rel=0&autoplay=1
https://img.youtube.com/vi/2DNioliqOug/0.jpg,2주안에 탄탄한 몸매 만드는 10분 운동,전신,https://www.youtube.com/embed/2DNioliqOug?rel=0&autoplay=1
https://img.youtube.com/vi/eaGywVXXTcM/0.jpg,레베카 언니의 덤벨을 활용한 전신 운동,전신,https://www.youtube.com/embed/eaGywVXXTcM?rel=0&autoplay=1
https://img.youtube.com/vi/YJ3QuchrUNA/0.jpg,45분 복싱운동으로 500칼로리 소비하기,전신,https://www.youtube.com/embed/YJ3QuchrUNA?rel=0&autoplay=1
https://img.youtube.com/vi/5BwamjxxEPE/0.jpg,10분 운동후 100칼로리 소비하기,전신,https://www.youtube.com/embed/5BwamjxxEPE?rel=0&autoplay=1
https://img.youtube.com/vi/D2kR-AKf4aQ/0.jpg,체중감량을 위한 Full Body 운동,전신,https://www.youtube.com/embed/D2kR-AKf4aQ?rel=0&autoplay=1
https://img.youtube.com/vi/GT2Uv05iY1k/0.jpg,캐시언니의 슈퍼 히어로 테마 운동 - 캣우먼,전신,https://www.youtube.com/embed/GT2Uv05iY1k?rel=0&autoplay=1
https://img.youtube.com/vi/mUns8O4YL5M/0.jpg,강도높고 다양한 동작의 전신운동!,전신,https://www.youtube.com/embed/mUns8O4YL5M?rel=0&autoplay=1
https://img.youtube.com/vi/rU-CtfuTSsI/0.jpg,레베카 언니의 15분 FULL 바디 운동,전신,https://www.youtube.com/embed/rU-CtfuTSsI?rel=0&autoplay=1
https://img.youtube.com/vi/vxq6FGijR7M/0.jpg,조용하게 운동을 할수 있는 2번째 전신운동,전신,https://www.youtube.com/embed/vxq6FGijR7M?rel=0&autoplay=1
https://img.youtube.com/vi/NNA3G4E4BJk/0.jpg,캐시언니의 슈퍼 히어로 테마 운동 - 슈퍼걸편,전신,https://www.youtube.com/embed/NNA3G4E4BJk?rel=0&autoplay=1
https://img.youtube.com/vi/dbcV95-sC9s/0.jpg,캐시언니의 슈퍼 히어로 테마 운동 - 원더우먼편,전신,https://www.youtube.com/embed/dbcV95-sC9s?rel=0&autoplay=1
https://img.youtube.com/vi/oVWKl8jZhbY/0.jpg,캐시언니의 슈퍼 히어로 테마 운동 - 세일러문편,전신,https://www.youtube.com/embed/oVWKl8jZhbY?rel=0&autoplay=1
https://img.youtube.com/vi/CW7cg6Ot86k/0.jpg,체중 감량에 탁월한 10분 운동,전신,https://www.youtube.com/embed/CW7cg6Ot86k?rel=0&autoplay=1
https://img.youtube.com/vi/FOM3HjVx9JU/0.jpg,캐시언니의 토탈 바디 운동,전신,https://www.youtube.com/embed/FOM3HjVx9JU?rel=0&autoplay=1
https://img.youtube.com/vi/LNqwySkdSh8/0.jpg,레베카 언니의 15분 Full 바디 운동,전신,https://www.youtube.com/embed/LNqwySkdSh8?rel=0&autoplay=1
https://img.youtube.com/vi/ty3U4R8fbLI/0.jpg,장비 없이 섹시한 BACK 라인 만들기,전신,https://www.youtube.com/embed/ty3U4R8fbLI?rel=0&autoplay=1
https://img.youtube.com/vi/xe0uCCkSRp4/0.jpg,덤벨을 이용한 Full 바디 운동,전신,https://www.youtube.com/embed/xe0uCCkSRp4?rel=0&autoplay=1
https://img.youtube.com/vi/B4HbkXFlrJA/0.jpg,조용하게 운동을 할수 있는 1번째 전신운동,전신,https://www.youtube.com/embed/B4HbkXFlrJA?rel=0&autoplay=1
https://img.youtube.com/vi/VGKYhBmHOI4/0.jpg,복싱 동작을 활용하여 칼로리 소비하기,전신,https://www.youtube.com/embed/VGKYhBmHOI4?rel=0&autoplay=1
https://img.youtube.com/vi/mmq5zZfmIws/0.jpg,음악에 몸을 맡겨 전신 7분 운동,전신,https://www.youtube.com/embed/mmq5zZfmIws?rel=0&autoplay=1
https://img.youtube.com/vi/tfTCykKtE7M/0.jpg,캐시언니의 아파트 실내에서 탁월한 운동,전신,https://www.youtube.com/embed/tfTCykKtE7M?rel=0&autoplay=1
https://img.youtube.com/vi/TNpXq-MFOz0/0.jpg,날씬한 팔뚝살과 섹시한 뒤태 만들기!,전신,https://www.youtube.com/embed/TNpXq-MFOz0?rel=0&autoplay=1
https://img.youtube.com/vi/Yiz8MrU94HE/0.jpg,쿠션으로 다양한 전신운동 - 초보자 운동,전신,https://www.youtube.com/embed/Yiz8MrU94HE?rel=0&autoplay=1
