NUM,MENU_NM,AVG_PRC,식단,이미지,칼로리,지방,탄수화물,단백질
38,비빔밥,9502,일반,https://m.jinganebanchan.com/web/product/big/20200603/f74fa6fdc6bdaab27024795e1097d7c1.jpg,586,13.99,89.78,22.05
39,김치찌개,8172,일반,https://static.wtable.co.kr/image-resize/production/service/recipe/291/4x3/a2421dff-e56c-40bd-8b40-06a91fc000a9.jpg,121,7.57,6.47,7.51
40,삼겹살,13791,고단백,https://static.wtable.co.kr/image/production/service/product/5562/1a9f385a-6c88-41a8-a958-60693f2a4eea.jpg,661,56.43,1.18,34.47
41,삼계탕,15831,고단백,https://src.hidoc.co.kr/image/lib/2022/7/15/1657867409681_0.jpg,454,15.89,20.41,55.5
42,에그누들,8213,비건,https://static.wtable.co.kr/image/production/service/recipe/1751/2f15491a-3c50-4c1f-9854-1d3d6a0e0e11.jpg,366,1.6,76.5,11.5
43,김밥,3055,일반,https://semie.cooking/image/post/recipe/im/zl/wjcbcjcr/html/112439523pgus.jpg,485,15.3,73.5,12.2
44,참치죽,8000,일반,https://www.foodshop.co.kr/shopimages/cookey01/033002001237.jpg?1479694442,190,4.3,34,4
45,만두,5185,일반,https://m.econenia.co.kr/web/product/medium/202307/02667b9e8764a1a7371c62a5c81dbb63.jpg,325,19,29,10
46,감바스,14770,일반,https://static.wtable.co.kr/image/production/service/recipe/2005/9d12471b-13e5-4ae1-bbe9-c3f09da6ebb1.jpg,927,87,14,22
47,고추장찌개,11965,일반,https://semie.cooking/image/contents/recipe/zi/en/ymiolcnw/120994761wxfl.jpg,411,11.59,54.13,27.61
48,꿔바로우,14567,일반,https://foodshop.co.kr/shopimages/cookey01/033002001686.jpg?1623744843,384,17.39,33.18,22.49
49,곱창,15723,일반,https://i.namu.wiki/i/EQL4wG6Dv3E7fM4UIwAmldY0aJdhcXoNVQnCPQZY0q-cOpwn34rn4QiOUjBJ5yi37TLi9DaAn1JvuAHGyMTOdw.webp,289,24.19,0,15.49
50,육회,22414,일반,https://www.hyun-deok.com/data/goods/1/2023/03/39_temp_16798979884045view.png,101,4.38,2.13,12.56
51,양념치킨,15217,일반,https://cdn.thescoop.co.kr/news/photo/202010/41306_58347_1055.jpg,2000,93,66,171
52,연어회,21600,고단백,https://sitem.ssgcdn.com/04/48/03/item/1000050034804_i2_750.jpg,242,9.84,0,35.89
53,돈까스,11000,일반,https://lh3.googleusercontent.com/proxy/XKo96XTw4qol21peX0fShAi7Ml86fxkQP_HYpOg9l_2LWhG0KqBNF0TObwgfpIGCjt2xMo26CtHQCcN_jGdDnlCTubmSng,586,30.6,24.56,45.16
54,볶음밥,7000,일반,https://m.cj.co.kr/images/theKitchen/PHON/0000001959/0000007704/0000001959.jpg,493,23.65,53.28,15.24
55,짜장면,7500,일반,https://i.namu.wiki/i/zLCSMHVvvt9_ZJyb33kImeEfmrBewsgNll9AyPyVcyNNX2frg1svs7I-nrm-seExLN7BcJ__RJMJCGKDIUkgPg.webp,785,19.98,129.41,26.81
56,피자,18500,일반,https://www.pizzaetang.com/mobile/img/sub/brand_pizza01.jpg,2397,105.67,268.23,88.5
57,라면,3000,일반,https://img.choroc.com/newshop/goods/009179/009179_1.jpg,385,14.54,55.68,7.9
58,스테이크,30000,고단백,https://i.namu.wiki/i/8HjXHmgc7e_5KZVmId552aTeMjiaDhyamd_XO9WUzD0AIG9jK4c6ULrJrec8MZMFiFm8tNO6wbr6sNGJkzbFJw.webp,585,35.76,0,61.47
59,케이준치킨샐러드,11000,키토,https://cdn.oasis.co.kr:48581/product/5804/thumb/thumb_5804e7b1af4a-974c-4d83-ae47-79e0311d839a.gif,390,3,11,15
60,떡볶이,3500,일반,https://i.namu.wiki/i/A5AIHovo1xwuEjs7V8-aKpZCSWY2gN3mZEPR9fymaez_J7ufmI9B7YyDBu6kZy9TC9VWJatXVJZbDjcYLO2S8Q.webp,280,2.91,60.42,6.97
61,햄버거,6500,일반,https://on.com2us.com/wp-content/uploads/2023/01/shutterstock_1938676873-scaled.jpg,270,10.97,26.81,14.61
62,갈비탕,12500,고단백,https://m.jinhanfood.com/web/product/big/202212/bc7fd89f3a5fb51bc385f6ce2bb4944f.jpg,466,31.26,11.63,33.29
63,토스트,3750,일반,https://static.wtable.co.kr/image-resize/production/service/recipe/170/16x9/88f14bd3-d922-4d67-8c38-1dcf9fee27bc.jpg,428,15.6,57.4,19
64,주먹밥,2250,일반,https://static.wtable.co.kr/image/production/service/recipe/2350/d7e0b6fa-a7af-4ed1-821e-9527d672f8ba.jpg?size=800x800,207,3.4,37.94,5.33
65,로제파스타,11500,일반,https://static.wtable.co.kr/image-resize/production/service/recipe/1901/4x3/eaefe5e0-6a56-4096-a902-c118fe22a7d5.jpg,435,17,61,10
66,밀푀유나베,10000,일반,https://recipe1.ezmember.co.kr/cache/recipe/2015/10/22/43e68588f4cd0e1a09ebdb184246c4a81.jpg,529,13,52,51
67,탕수육,17500,일반,https://blog.kakaocdn.net/dn/qnIz2/btqSdtiK7C4/Thg8RwPPLh1slbBI8Vsksk/img.jpg,591,23.93,64.73,26.99
68,부대찌개,6000,일반,https://foodyap.co.kr/shopimages/goldplate1/039000000012.jpg?1560850364,626,38.55,41.11,27.7
69,오리구이,31000,고단백,https://blog.kakaocdn.net/dn/bVvCUT/btqFOXWWjxV/oXyj3Iyy7wbSvRnHcraW5K/img.png,462,37.19,0,29.68
70,불고기,10900,일반,https://www.foodjang.com/New/03/221006979/221006979_b_2.jpg,486,23.86,14.77,48.38
71,닭가슴살샐러드,9900,키토,https://mblogthumb-phinf.pstatic.net/MjAyMTA2MjFfMjU0/MDAxNjI0Mjg0ODA5ODEx.PWo1hEfQsURIMb0gpy76RrrFkhG0hN4riMLG7LyFMbAg.7Abi9Ie3Pwn0WGiEV3owpp0rZ0Fa2ho6sZl8oaOijc4g.JPEG.lalacucina/%EB%8B%AD%EA%B0%80%EC%8A%B4%EC%82%B4_%EC%83%90%EB%9F%AC%EB%93%9C.jpg?type=w800,234,7,23,20
72,짬뽕,8000,일반,https://wooltariusa.com/cdn/shop/products/55.jpg?v=1684855939&width=1400,764,12,133.56,28.79
73,꽁치조림,9000,일반,https://static.wtable.co.kr/image/production/service/recipe/947/019bca6b-d914-4cc1-ac1c-e4fc49a5851f.jpg,195,12.68,6.22,14.34
74,비지찌개,8500,비건,https://mblogthumb-phinf.pstatic.net/MjAxNjExMTBfMTkw/MDAxNDc4Nzc5OTA0ODI3.waEH5ucqhAsYwev1QnYMebu2ZOfa_DlbjdnRpkk61rYg.M8duJDfCh72C9yikxAbjn4SBpFWX5lS8KI5bh9qK9FYg.JPEG.cshee32/bji20161111-813.jpg?type=w800,200,12,9,14
75,육개장,9500,일반,https://thingool123.godohosting.com/data/goods/21/02/08/1000019288/1000019288_detail_096.jpg,165,7.57,10.45,14.32
76,치킨스테이크,14000,키토,https://image.auction.co.kr/itemimage/1f/cf/27/1fcf2748d6.jpg,240,12,11,21
77,키토김밥,6000,키토,https://assets.ju.st/is/750x750/smart/filters:format(jpg):quality(80)/f/111747/1080x1080/88820da52a/7.png,220,16.07,8.13,12.68
78,닭볶음탕,1699,일반,https://cdn.011st.com/11dims/resize/600x600/quality/75/11src/product/5672268796/B.jpg?124000000,685,15,89,48
79,월남쌈,23900,키토,https://i.ytimg.com/vi/1gm1uq2Z9MI/maxresdefault.jpg,694,0.5,169,3
80,닭갈비,11000,일반,https://noeulfood.com/web/product/big/202310/488af6d0628fb4271cb03fe4a153162f.jpg,585,26.98,43.18,40.2
81,제육덮밥,9900,일반,https://i.namu.wiki/i/l6PoAdPDh9UiTfuml_-Ik0om5LTdz_KavRQ31LNXvJqmjbXAdp0YaFu9iSMZ_Z8DOJqrhAYQzWFwq0vAgkUw5g.webp,779,21.41,115.13,29.85
82,어묵탕,7000,일반,https://mblogthumb-phinf.pstatic.net/MjAyMzA0MjlfNzEg/MDAxNjgyNzc0Njk2NjI3.kPFZE2Bz6RK2e06sAlC328Zv1KpTxGlDZlQj4WYPEPMg.MgNsGY3qAcS69sHCPAEWQws154fYMdszbEZQKYygdwog.JPEG.lalacucina/%EC%98%A4%EB%8E%85%ED%83%95%EB%81%93%EC%9D%B4%EB%8A%94%EB%B2%95.jpg?type=w800,125,2.45,13.06,13.11
83,아보카도샐러드,11900,비건,https://mblogthumb-phinf.pstatic.net/MjAxODA4MDNfMTQ2/MDAxNTMzMzA4MzUyNDQx.taWB0IEZL8Wa53B6_CKihJTzYs4bH4OtdIZE-wYqSSsg.NP6viJoMHqg0wRi3mmQr5GmNrU0cjZMVFL2WnOArDEkg.JPEG.0105jaok/03%EC%95%84%EB%B3%B4%EC%B9%B4%EB%8F%84%EC%83%90%EB%9F%AC%EB%93%9C_%EC%97%AC%EC%9A%B0%EB%B3%84%EC%8B%9D%ED%83%8112.jpg?type=w800,260,5,30,5
84,미역국,8900,일반,https://m.goodfoods.kr/web/product/big/202211/1fe9d81bfce06c56e8016f148928635f.jpg,177,6.78,16.08,15.06
85,떡갈비,13000,고단백,https://doewxs707ovkc.cloudfront.net/v3/prod/image/item/mainpage/922/e887da5843854ea9870904b9e2ca126220211006195053.,416,29.19,4.05,32.98
86,쭈꾸미볶음,17000,일반,https://static.wtable.co.kr/image/production/service/recipe/707/d403b168-c865-4b5e-9afb-58c48e5feaec.jpg,578,22.57,29.61,63.62
87,호박죽,10500,일반,https://gdimg.gmarket.co.kr/1365523422/still/400?ver=1663920299,211,2.96,44.01,4.38
88,전복죽,13000,일반,https://static.wtable.co.kr/image/production/service/recipe/425/75c3329e-7421-41ea-9fca-5a2fcf9aacb2.jpg,245,4.1,46,6
89,야채죽,10500,일반,https://foodshop.co.kr/shopimages/cookey01/033002001233.jpg?1479694439,141,0.59,28.8,6.1
90,매운탕,31000,일반,https://mblogthumb-phinf.pstatic.net/MjAyMjA4MjRfMjU3/MDAxNjYxMzUxODY3MjQ4.wOAZ2rLK_odg7QETmrFO2Nwujo9VfIRJfFlI6Ir3uU8g.cqO3DShg2THJsiP5PDOSPcmkPg1Juq_nis12rX3hQ6Yg.JPEG.jin5194/%EB%A9%94%EC%9D%B81.JPG?type=w800,213,5.31,6.24,34.1
91,골뱅이무침,18000,일반,https://static.wtable.co.kr/image/production/service/recipe/615/8e7a7e58-ed0b-44f6-80f8-f4d3ebf94ac6.jpg?size=800x800,293,4.46,34.68,29.85
92,소고기버섯전골,28000,키토,https://recipe1.ezmember.co.kr/cache/recipe/2019/02/20/4fbff29f42cae28a7ef00cbc2eeab3561.jpg,466,6,57,46
93,곤약비빔면,7000,키토,https://recipe1.ezmember.co.kr/cache/recipe/2019/02/21/f808ca2a80c1fa3148ed20fbea72047d1.jpg,90,2.6,19,0
94,생선까스,12500,고단백,https://goodfriendsfood.kr/web/product/big/202301/542c2773743492e0032e04372185ba98.jpg,527,20.73,43.6,39.17
95,수제비,8500,일반,https://static.wtable.co.kr/image/production/service/recipe/2173/0cacbba7-e2c8-4ed4-aae7-c08e798d0005.jpg?size=800x800,371,6.73,61.49,15.46
96,등갈비김치찜,16000,일반,https://static.wtable.co.kr/image/production/service/recipe/383/f7d77f9d-ba55-4782-87ed-f95ae529874f.jpg?size=800x800,270,14,21,15
